seed,Area_mm2,Length_mm,Width_mm,Circularity,FeretDistance,species
1,24.339,5.811,5.333,0.889,5.991,adzuki
2,24.943,6.177,5.142,0.866,6.53,adzuki
3,24.791,6.237,5.061,0.888,6.444,adzuki
4,25.911,6.388,5.164,0.885,6.517,adzuki
5,19.741,5.45,4.612,0.819,5.702,adzuki
6,22.346,5.806,4.9,0.881,6.13,adzuki
7,29.331,7.217,5.175,0.852,7.206,adzuki
8,28.029,6.388,5.587,0.893,6.623,adzuki
9,30.881,6.932,5.672,0.857,7.15,adzuki
10,24.085,6.062,5.059,0.88,6.105,adzuki
11,25.555,6.481,5.02,0.876,6.55,adzuki
12,22.258,5.806,4.881,0.877,6.032,adzuki
13,27.221,6.087,5.694,0.908,6.34,adzuki
14,25.998,6.402,5.17,0.877,6.555,adzuki
15,24.66,6.079,5.165,0.717,7.082,adzuki
16,18.256,5.294,4.391,0.889,5.371,adzuki
17,21.589,5.78,4.755,0.879,6.043,adzuki
18,28.116,6.413,5.582,0.906,6.563,adzuki
19,22.382,6.427,4.434,0.869,6.352,adzuki
20,28.96,6.532,5.645,0.887,6.613,adzuki
21,25.977,6.539,5.058,0.883,6.674,adzuki
22,25.882,6.026,5.469,0.881,6.436,adzuki
23,25.547,6.421,5.066,0.877,6.529,adzuki
24,26.02,6.511,5.088,0.858,6.663,adzuki
25,20.257,5.629,4.582,0.857,5.716,adzuki
26,22.215,5.588,5.061,0.883,5.793,adzuki
27,24.434,5.987,5.196,0.611,6.876,adzuki
28,26.995,6.492,5.294,0.899,6.639,adzuki
29,23.364,5.778,5.148,0.891,6.051,adzuki
30,25.998,6.427,5.151,0.887,6.488,adzuki
31,25.293,6.188,5.204,0.903,6.34,adzuki
32,26.639,6.451,5.258,0.863,6.73,adzuki
33,20.381,5.678,4.57,0.883,5.876,adzuki
34,25.489,6.442,5.038,0.89,6.51,adzuki
35,25.475,6.07,5.343,0.889,6.434,adzuki
36,24.194,6.658,4.627,0.843,6.705,adzuki
37,25.904,6.433,5.127,0.877,6.474,adzuki
38,22.448,6.138,4.656,0.875,6.248,adzuki
39,24.427,5.96,5.218,0.878,6.171,adzuki
40,21.007,5.818,4.597,0.864,5.947,adzuki
41,25.205,6.033,5.32,0.869,6.575,adzuki
42,19.894,5.329,4.753,0.905,5.433,adzuki
43,28.349,6.825,5.289,0.849,6.944,adzuki
44,32.86,7.432,5.63,0.873,7.527,adzuki
45,26.944,6.443,5.324,0.872,6.625,adzuki
46,25.998,6.318,5.239,0.862,6.625,adzuki
47,28.502,6.254,5.802,0.866,6.434,adzuki
48,27.396,6.486,5.378,0.877,6.794,adzuki
49,26.886,6.46,5.299,0.889,6.662,adzuki
50,26.035,6.454,5.136,0.883,6.679,adzuki
51,24.456,6.143,5.069,0.891,6.159,adzuki
52,26.071,6.51,5.099,0.871,6.719,adzuki
53,26.413,6.707,5.015,0.789,6.968,adzuki
54,27.788,6.635,5.333,0.884,6.719,adzuki
55,22.469,5.592,5.116,0.907,5.801,adzuki
56,26.399,6.504,5.168,0.716,6.585,adzuki
57,26.013,6.134,5.399,0.89,6.311,adzuki
58,22.113,5.656,4.978,0.878,6.163,adzuki
59,24.456,6.5,4.79,0.85,6.704,adzuki
60,30.961,6.756,5.835,0.88,6.995,adzuki
61,20.468,5.793,4.499,0.882,5.959,adzuki
62,20.097,5.621,4.552,0.88,5.756,adzuki
63,28.123,6.34,5.648,0.899,6.674,adzuki
64,28.698,6.61,5.528,0.857,6.869,adzuki
65,21.538,5.871,4.671,0.874,6.04,adzuki
66,31.63,7.165,5.62,0.874,7.271,adzuki
67,23.947,5.892,5.175,0.878,6.089,adzuki
68,25.213,6.253,5.134,0.896,6.311,adzuki
69,29.957,6.659,5.728,0.895,6.959,adzuki
70,22.775,5.626,5.154,0.88,5.991,adzuki
71,27.847,6.503,5.452,0.88,6.609,adzuki
72,28.145,6.737,5.319,0.876,6.848,adzuki
73,26.566,6.368,5.312,0.878,6.444,adzuki
74,26.981,6.688,5.136,0.878,6.835,adzuki
75,24.943,6.489,4.894,0.792,6.88,adzuki
76,30.175,6.486,5.924,0.883,6.799,adzuki
77,29.302,6.71,5.56,0.881,6.859,adzuki
78,24.238,6.133,5.032,0.869,6.409,adzuki
79,25.635,6.385,5.112,0.865,6.709,adzuki
80,22.222,5.786,4.89,0.884,6.089,adzuki
81,19.406,5.104,4.841,0.867,5.633,adzuki
82,24.609,6.145,5.099,0.879,6.297,adzuki
83,21.713,5.939,4.655,0.878,5.947,adzuki
84,25.846,6.428,5.12,0.87,6.652,adzuki
85,26.028,6.664,4.973,0.872,6.674,adzuki
86,20.861,5.521,4.811,0.894,5.751,adzuki
87,24.39,6.033,5.148,0.873,6.375,adzuki
88,23.255,6.107,4.849,0.851,6.357,adzuki
89,25.504,6.066,5.353,0.826,6.411,adzuki
90,24.267,5.909,5.229,0.84,6.201,adzuki
91,31.47,6.852,5.848,0.836,7.301,adzuki
92,19.661,5.315,4.71,0.832,5.535,adzuki
93,22.513,5.802,4.94,0.874,6.116,adzuki
94,24.288,6.237,4.959,0.879,6.463,adzuki
95,25.504,6.14,5.289,0.87,6.496,adzuki
96,23.685,5.88,5.129,0.869,6.128,adzuki
97,26.981,6.593,5.21,0.543,8.716,adzuki
98,24.318,6.046,5.121,0.888,6.422,adzuki
99,28.632,6.919,5.269,0.831,7.313,adzuki
1,2.692,2.216,1.547,0.851,2.261,alfalfa
2,2.125,2.129,1.271,0.855,2.178,alfalfa
3,2.211,2.105,1.338,0.856,2.16,alfalfa
4,2.649,2.374,1.421,0.824,2.44,alfalfa
5,2.664,2.54,1.335,0.793,2.632,alfalfa
6,3.037,2.616,1.478,0.794,2.661,alfalfa
7,2.183,1.923,1.445,0.911,2,alfalfa
8,3.181,2.627,1.542,0.821,2.68,alfalfa
9,2.764,2.496,1.41,0.803,2.587,alfalfa
10,2.42,2.248,1.371,0.866,2.331,alfalfa
11,2.7,2.493,1.379,0.845,2.549,alfalfa
12,2.448,2.328,1.339,0.786,2.423,alfalfa
13,1.924,1.736,1.411,0.839,1.921,alfalfa
14,2.484,2.254,1.403,0.848,2.327,alfalfa
15,2.491,2.419,1.311,0.753,2.47,alfalfa
16,2.412,2.252,1.364,0.866,2.354,alfalfa
17,2.377,2.271,1.332,0.831,2.388,alfalfa
18,2.527,2.386,1.349,0.817,2.426,alfalfa
19,2.046,2.136,1.22,0.86,2.16,alfalfa
20,2.901,2.648,1.395,0.739,2.733,alfalfa
21,2.262,2.277,1.264,0.823,2.305,alfalfa
22,2.542,2.28,1.419,0.816,2.313,alfalfa
23,2.692,2.129,1.61,0.919,2.203,alfalfa
24,2.692,2.545,1.347,0.795,2.592,alfalfa
25,1.924,2.003,1.223,0.839,2.093,alfalfa
26,3.396,2.668,1.621,0.813,2.713,alfalfa
27,2.534,2.148,1.503,0.859,2.224,alfalfa
28,2.477,2.266,1.392,0.851,2.392,alfalfa
29,2.578,2.244,1.463,0.846,2.282,alfalfa
30,2.276,2.329,1.244,0.777,2.386,alfalfa
31,2.506,2.381,1.34,0.83,2.409,alfalfa
32,2.793,2.541,1.399,0.783,2.528,alfalfa
33,2.764,2.329,1.511,0.834,2.363,alfalfa
34,3.023,2.317,1.661,0.847,2.423,alfalfa
35,2.463,2.255,1.391,0.861,2.314,alfalfa
36,1.996,2.152,1.181,0.803,2.172,alfalfa
37,2.341,2.058,1.448,0.919,2.096,alfalfa
38,3.238,2.656,1.552,0.802,2.75,alfalfa
39,2.606,2.157,1.538,0.884,2.237,alfalfa
40,2.19,2.114,1.319,0.875,2.17,alfalfa
41,2.412,2.325,1.321,0.824,2.398,alfalfa
42,3.396,2.698,1.603,0.824,2.767,alfalfa
43,2.664,2.42,1.402,0.803,2.467,alfalfa
44,2.427,2.291,1.349,0.823,2.398,alfalfa
45,2.154,2.012,1.363,0.883,2.093,alfalfa
46,2.427,2.301,1.343,0.784,2.36,alfalfa
47,2.19,2.157,1.293,0.824,2.261,alfalfa
48,2.657,2.196,1.54,0.858,2.305,alfalfa
49,2.384,2.199,1.38,0.847,2.282,alfalfa
50,2.592,2.318,1.424,0.845,2.392,alfalfa
51,2.089,2.127,1.251,0.835,2.21,alfalfa
52,2.549,2.333,1.391,0.829,2.412,alfalfa
53,2.427,2.168,1.425,0.877,2.239,alfalfa
54,2.85,2.344,1.548,0.849,2.446,alfalfa
55,2.477,2.262,1.395,0.84,2.313,alfalfa
56,3.152,2.68,1.498,0.785,2.675,alfalfa
57,2.649,2.444,1.38,0.77,2.467,alfalfa
58,2.764,2.493,1.412,0.816,2.599,alfalfa
59,2.642,2.472,1.361,0.787,2.502,alfalfa
60,2.57,2.415,1.355,0.8,2.446,alfalfa
61,2.24,2.372,1.203,0.772,2.423,alfalfa
62,2.707,2.462,1.4,0.811,2.594,alfalfa
63,2.29,2.013,1.449,0.922,2.063,alfalfa
64,2.85,2.588,1.402,0.76,2.659,alfalfa
65,2.204,2.103,1.334,0.859,2.165,alfalfa
66,2.599,2.049,1.615,0.853,2.224,alfalfa
67,2.8,2.326,1.533,0.871,2.412,alfalfa
68,1.881,1.827,1.311,0.899,1.936,alfalfa
69,2.865,2.434,1.499,0.84,2.542,alfalfa
70,2.362,2.247,1.339,0.834,2.327,alfalfa
71,2.427,2.38,1.298,0.815,2.41,alfalfa
72,2.355,2.182,1.374,0.817,2.305,alfalfa
73,2.14,2.199,1.239,0.834,2.289,alfalfa
74,2.183,2.129,1.305,0.842,2.16,alfalfa
75,1.939,1.955,1.262,0.884,1.994,alfalfa
76,2.807,2.526,1.415,0.816,2.592,alfalfa
77,2.398,2.347,1.301,0.787,2.412,alfalfa
78,3.482,2.863,1.548,0.794,2.828,alfalfa
79,2.52,2.178,1.473,0.904,2.274,alfalfa
80,3.209,2.557,1.598,0.822,2.649,alfalfa
81,2.298,2.23,1.312,0.83,2.313,alfalfa
82,2.52,2.318,1.384,0.847,2.423,alfalfa
83,2.642,2.438,1.38,0.809,2.47,alfalfa
84,2.75,2.392,1.463,0.824,2.509,alfalfa
85,3.317,2.587,1.633,0.833,2.68,alfalfa
86,2.592,2.297,1.436,0.851,2.374,alfalfa
87,2.513,2.369,1.35,0.817,2.44,alfalfa
88,3.023,2.666,1.444,0.779,2.661,alfalfa
89,2.197,2.14,1.307,0.827,2.203,alfalfa
90,2.441,2.306,1.348,0.853,2.444,alfalfa
91,2.994,2.354,1.619,0.878,2.428,alfalfa
92,2.118,1.914,1.409,0.881,2.049,alfalfa
93,2.269,2.122,1.362,0.869,2.237,alfalfa
94,2.98,2.516,1.508,0.83,2.594,alfalfa
95,3.267,2.724,1.527,0.782,2.776,alfalfa
96,2.455,2.149,1.455,0.872,2.21,alfalfa
97,2.111,1.689,1.592,0.92,1.833,alfalfa
98,2.118,1.902,1.418,0.855,2.093,alfalfa
99,2.987,2.537,1.499,0.82,2.61,alfalfa
100,2.448,2.271,1.373,0.856,2.313,alfalfa
101,2.621,2.406,1.387,0.79,2.44,alfalfa
1,16.797,7.355,2.908,0.653,7.417,barley
2,19.123,7.499,3.247,0.694,7.638,barley
3,19.929,7.445,3.408,0.68,7.715,barley
4,21.113,7.636,3.52,0.714,7.855,barley
5,18.16,8.33,2.776,0.553,8.575,barley
6,19.986,7.557,3.367,0.7,7.638,barley
7,17.753,6.915,3.269,0.718,7.09,barley
8,18.231,6.923,3.353,0.725,7.109,barley
9,17.603,7.028,3.189,0.707,7.265,barley
10,19.023,6.934,3.493,0.745,7.159,barley
11,19.793,7.473,3.372,0.694,7.735,barley
12,19.023,7.361,3.29,0.695,7.532,barley
13,16.262,6.761,3.063,0.713,6.949,barley
14,21.184,7.962,3.388,0.692,8.012,barley
15,17.86,6.86,3.315,0.736,6.942,barley
16,17.175,7.415,2.949,0.663,7.533,barley
17,17.782,7.377,3.069,0.674,7.682,barley
18,20.335,7.806,3.317,0.681,7.919,barley
19,21.997,8.169,3.429,0.682,8.227,barley
20,15.228,6.404,3.028,0.737,6.467,barley
21,17.796,7.143,3.172,0.695,7.373,barley
22,20.713,7.453,3.538,0.723,7.752,barley
23,18.616,7.242,3.273,0.707,7.438,barley
24,16.334,6.593,3.155,0.745,6.653,barley
25,14.993,6.655,2.868,0.676,6.864,barley
26,20.021,7.295,3.494,0.715,7.669,barley
27,16.833,6.635,3.23,0.72,6.862,barley
28,18.103,7.358,3.132,0.702,7.334,barley
29,22.981,7.855,3.725,0.731,8.095,barley
30,14.208,5.736,3.154,0.778,5.876,barley
31,18.652,7.072,3.358,0.683,7.471,barley
32,22.054,7.809,3.596,0.71,8.074,barley
33,14.108,6.01,2.989,0.734,6.165,barley
34,16.07,6.773,3.021,0.698,6.84,barley
35,16.419,7.22,2.896,0.664,7.374,barley
36,17.546,7.225,3.092,0.677,7.404,barley
37,20.021,7.423,3.434,0.72,7.71,barley
38,14.957,6.58,2.894,0.684,6.712,barley
39,16.32,6.832,3.041,0.701,7.075,barley
40,17.218,7.208,3.041,0.677,7.275,barley
41,17.133,6.567,3.322,0.745,6.736,barley
42,17.068,7.125,3.05,0.662,7.406,barley
43,19.379,7.248,3.404,0.691,7.456,barley
44,19.708,7.585,3.308,0.703,7.507,barley
45,16.049,6.568,3.111,0.73,6.77,barley
46,16.619,6.798,3.113,0.712,6.907,barley
47,18.524,7.145,3.301,0.727,7.387,barley
48,17.924,7.307,3.123,0.664,7.601,barley
49,16.241,6.36,3.251,0.753,6.555,barley
50,18.31,7.137,3.266,0.698,7.404,barley
51,20.456,7.561,3.445,0.697,7.984,barley
52,21.498,7.955,3.441,0.675,8.129,barley
53,18.509,7.326,3.217,0.704,7.593,barley
54,18.631,6.805,3.486,0.728,7.139,barley
55,16.733,6.676,3.191,0.748,6.634,barley
56,20.257,7.528,3.426,0.711,7.692,barley
57,18.802,7.387,3.24,0.7,7.608,barley
58,19.28,7.024,3.495,0.705,7.404,barley
59,17.511,6.838,3.261,0.714,7.071,barley
60,21.07,7.546,3.555,0.721,7.718,barley
61,15.984,6.296,3.233,0.75,6.573,barley
62,20.292,7.5,3.445,0.701,7.786,barley
63,16.862,6.787,3.163,0.722,6.928,barley
64,18.203,6.748,3.434,0.752,6.937,barley
65,15.663,6.836,2.918,0.692,7.054,barley
66,18.16,7.458,3.1,0.665,7.569,barley
67,16.512,6.74,3.119,0.715,6.87,barley
68,19.037,7.286,3.327,0.713,7.421,barley
69,21.619,7.826,3.517,0.684,8.209,barley
70,15.478,6.772,2.91,0.693,6.967,barley
71,18.937,7.256,3.323,0.726,7.375,barley
72,17.974,6.959,3.289,0.736,6.893,barley
73,20.271,7.781,3.317,0.663,8.203,barley
74,17.846,6.816,3.334,0.716,7.018,barley
75,15.407,6.465,3.034,0.72,6.622,barley
76,19.13,7.227,3.37,0.715,7.482,barley
77,21.191,7.769,3.473,0.697,7.97,barley
78,19.365,7.613,3.239,0.681,7.805,barley
79,18.631,7.154,3.316,0.717,7.404,barley
80,17.589,7.024,3.188,0.706,7.228,barley
81,18.902,7.306,3.294,0.706,7.459,barley
82,17.118,6.842,3.186,0.7,7.197,barley
83,15.877,6.834,2.958,0.681,6.987,barley
84,16.562,6.57,3.21,0.714,6.912,barley
85,21.098,7.571,3.548,0.703,7.937,barley
86,12.332,5.748,2.732,0.733,5.665,barley
87,20.999,7.703,3.471,0.703,7.961,barley
88,20.542,7.491,3.491,0.716,7.8,barley
89,19.18,7.093,3.443,0.742,7.344,barley
90,17.004,7.043,3.074,0.707,7.022,barley
91,17.447,6.968,3.188,0.708,7.293,barley
92,16.184,6.844,3.011,0.691,6.967,barley
93,17.689,7.144,3.153,0.702,7.374,barley
94,20.164,7.326,3.504,0.719,7.54,barley
95,19.251,6.961,3.521,0.758,7.09,barley
96,17.033,6.947,3.122,0.708,7.107,barley
97,17.197,6.555,3.34,0.751,6.834,barley
98,19.579,7.402,3.368,0.682,7.704,barley
99,18.652,7.51,3.162,0.67,7.772,barley
100,21.569,7.882,3.484,0.669,8.129,barley
101,17.996,6.945,3.299,0.737,7.113,barley
1,2.211,1.907,1.476,0.877,1.947,broccoli
2,1.678,1.527,1.399,0.667,1.707,broccoli
3,2.666,2.125,1.597,0.851,2.189,broccoli
4,1.941,1.719,1.437,0.887,1.779,broccoli
5,2.211,1.816,1.55,0.87,1.885,broccoli
6,1.713,1.717,1.271,0.792,1.802,broccoli
7,1.877,1.614,1.48,0.942,1.707,broccoli
8,2.197,1.735,1.612,0.856,1.857,broccoli
9,1.813,1.67,1.382,0.772,1.779,broccoli
10,2.197,1.892,1.478,0.656,1.984,broccoli
11,2.118,1.752,1.54,0.877,1.841,broccoli
12,2.644,1.893,1.779,0.927,2.011,broccoli
13,1.962,1.942,1.286,0.661,2.053,broccoli
14,2.41,1.838,1.669,0.901,1.976,broccoli
15,2.979,2.184,1.736,0.838,2.294,broccoli
16,2.225,1.768,1.602,0.846,1.941,broccoli
17,1.628,1.516,1.368,0.936,1.637,broccoli
18,2.09,1.749,1.521,0.897,1.866,broccoli
19,1.72,1.638,1.338,0.88,1.707,broccoli
20,2.289,1.816,1.605,0.83,2.038,broccoli
21,1.514,1.697,1.136,0.491,1.849,broccoli
22,2.14,1.849,1.474,0.892,1.941,broccoli
23,2.9,2.153,1.715,0.816,2.278,broccoli
24,1.379,1.494,1.176,0.7,1.663,broccoli
25,1.99,1.76,1.44,0.917,1.824,broccoli
26,1.379,1.402,1.253,0.845,1.568,broccoli
27,1.685,1.671,1.284,0.905,1.738,broccoli
28,1.464,1.466,1.272,0.82,1.55,broccoli
29,1.798,1.603,1.429,0.917,1.738,broccoli
30,2.012,1.711,1.497,0.812,1.941,broccoli
31,2.346,1.856,1.609,0.923,1.926,broccoli
32,2.694,2.131,1.61,0.873,2.232,broccoli
33,1.408,1.508,1.188,0.882,1.575,broccoli
34,1.386,1.567,1.126,0.824,1.68,broccoli
35,1.791,1.524,1.496,0.851,1.656,broccoli
36,2.367,2.06,1.463,0.723,2.133,broccoli
37,2.673,1.984,1.716,0.687,2.094,broccoli
38,2.182,1.787,1.555,0.857,1.908,broccoli
39,2.211,1.753,1.606,0.915,1.824,broccoli
40,2.588,1.938,1.7,0.833,2.058,broccoli
41,1.4,1.357,1.314,0.808,1.508,broccoli
42,1.727,1.583,1.389,0.884,1.68,broccoli
43,1.813,1.739,1.327,0.792,1.923,broccoli
44,1.486,1.747,1.083,0.792,1.885,broccoli
45,2.005,1.71,1.493,0.916,1.779,broccoli
46,2.175,1.874,1.478,0.869,1.99,broccoli
47,2.239,1.939,1.471,0.79,2.053,broccoli
48,1.969,1.857,1.35,0.858,1.923,broccoli
49,2.431,1.897,1.632,0.872,1.966,broccoli
50,2.246,1.851,1.545,0.869,1.966,broccoli
51,2.353,1.983,1.511,0.801,2.115,broccoli
52,1.699,1.66,1.303,0.836,1.738,broccoli
53,3.242,2.418,1.707,0.858,2.48,broccoli
54,2.851,1.92,1.891,0.924,2.039,broccoli
55,2.325,1.917,1.544,0.863,2.031,broccoli
56,1.365,1.473,1.179,0.874,1.568,broccoli
57,2.538,1.868,1.729,0.904,1.966,broccoli
58,2.154,1.864,1.471,0.863,2.053,broccoli
59,1.827,1.851,1.257,0.732,1.902,broccoli
60,1.152,1.37,1.07,0.816,1.472,broccoli
61,1.955,1.662,1.497,0.894,1.787,broccoli
62,1.422,1.402,1.292,0.872,1.568,broccoli
63,2.218,1.742,1.621,0.895,1.872,broccoli
64,2.346,1.848,1.617,0.93,1.923,broccoli
65,2.189,1.811,1.54,0.799,1.966,broccoli
66,2.545,1.847,1.755,0.761,1.999,broccoli
67,1.727,1.554,1.415,0.761,1.738,broccoli
68,2.481,1.97,1.603,0.921,2.058,broccoli
69,2.488,1.817,1.744,0.864,2.038,broccoli
70,2.779,2.124,1.666,0.907,2.189,broccoli
71,2.865,2.01,1.815,0.849,2.159,broccoli
72,1.884,1.621,1.479,0.902,1.707,broccoli
73,2.154,1.762,1.557,0.689,1.872,broccoli
74,1.855,1.674,1.412,0.862,1.793,broccoli
75,2.993,2.301,1.656,0.853,2.462,broccoli
76,2.005,1.788,1.428,0.783,1.885,broccoli
77,1.656,1.744,1.209,0.848,1.81,broccoli
78,2.04,1.668,1.558,0.875,1.849,broccoli
79,2.211,1.832,1.537,0.812,1.976,broccoli
80,2.133,1.859,1.46,0.846,1.999,broccoli
81,1.706,1.705,1.274,0.863,1.738,broccoli
82,1.464,1.535,1.214,0.827,1.591,broccoli
83,1.038,1.34,0.986,0.901,1.403,broccoli
84,1.564,1.652,1.206,0.528,1.851,broccoli
85,2.516,2.021,1.585,0.865,2.159,broccoli
86,2.851,2.155,1.684,0.91,2.27,broccoli
87,1.898,1.716,1.408,0.891,1.761,broccoli
88,2.573,1.892,1.731,0.853,2.039,broccoli
89,1.926,1.766,1.389,0.818,1.824,broccoli
90,2.367,1.847,1.632,0.894,1.926,broccoli
91,2.31,1.9,1.548,0.791,1.984,broccoli
92,2.069,1.91,1.379,0.85,1.984,broccoli
93,2.133,1.768,1.536,0.915,1.885,broccoli
94,2.246,1.867,1.532,0.907,1.974,broccoli
95,2.95,2.307,1.628,0.861,2.414,broccoli
96,2.04,1.786,1.454,0.875,1.895,broccoli
97,2.815,2.036,1.761,0.839,2.176,broccoli
98,1.884,1.614,1.487,0.902,1.761,broccoli
99,2.602,1.976,1.676,0.897,2.082,broccoli
100,2.076,1.682,1.571,0.949,1.779,broccoli
1,12.662,4.351,3.706,0.792,4.913,buckwheat
2,8.207,3.948,2.647,0.682,4.097,buckwheat
3,11.371,4.089,3.541,0.8,4.615,buckwheat
4,12.203,4.376,3.551,0.824,4.769,buckwheat
5,12.354,4.222,3.726,0.817,4.665,buckwheat
6,10.259,3.925,3.328,0.823,4.263,buckwheat
7,13.43,4.287,3.988,0.816,4.787,buckwheat
8,10.46,4.017,3.316,0.77,4.527,buckwheat
9,12.411,4.277,3.694,0.767,4.888,buckwheat
10,10.266,3.859,3.388,0.821,4.205,buckwheat
11,9.958,3.736,3.394,0.786,4.208,buckwheat
12,12.39,4.529,3.483,0.818,4.886,buckwheat
13,13.896,4.259,4.154,0.826,4.75,buckwheat
14,9.9,3.561,3.54,0.853,3.908,buckwheat
15,12.311,4.125,3.8,0.786,4.677,buckwheat
16,11.945,4.138,3.675,0.839,4.515,buckwheat
17,12.225,4.383,3.551,0.762,4.934,buckwheat
18,13.437,4.419,3.871,0.843,4.741,buckwheat
19,13.136,4.374,3.823,0.823,4.86,buckwheat
20,10.223,3.952,3.294,0.739,4.54,buckwheat
21,11.608,3.904,3.786,0.835,4.263,buckwheat
22,13.05,4.452,3.732,0.827,4.829,buckwheat
23,9.369,3.576,3.336,0.803,4.112,buckwheat
24,13.817,4.368,4.027,0.824,4.851,buckwheat
25,8.781,3.424,3.265,0.693,4.067,buckwheat
26,14.448,4.485,4.102,0.848,4.807,buckwheat
27,11.679,4.11,3.618,0.852,4.475,buckwheat
28,11.765,4.027,3.72,0.802,4.502,buckwheat
29,12.698,4.279,3.778,0.888,4.432,buckwheat
30,13.143,4.345,3.851,0.829,4.777,buckwheat
31,13.925,4.311,4.113,0.831,4.769,buckwheat
32,11.973,4.033,3.78,0.808,4.534,buckwheat
33,11.428,4.074,3.571,0.804,4.372,buckwheat
34,13.846,4.261,4.137,0.825,4.78,buckwheat
35,10.926,3.803,3.658,0.797,4.327,buckwheat
36,11.127,3.966,3.572,0.841,4.263,buckwheat
37,13.989,4.403,4.045,0.832,4.791,buckwheat
38,13.853,4.322,4.081,0.84,4.586,buckwheat
39,12.619,4.494,3.576,0.788,4.957,buckwheat
40,13.566,4.331,3.988,0.785,4.866,buckwheat
41,12.684,4.116,3.924,0.818,4.612,buckwheat
42,12.361,4.066,3.871,0.809,4.61,buckwheat
43,10.453,3.985,3.34,0.816,4.158,buckwheat
44,9.054,3.556,3.242,0.828,3.948,buckwheat
45,10.869,3.828,3.615,0.866,3.948,buckwheat
46,10.015,3.777,3.376,0.812,4.179,buckwheat
47,10.381,3.743,3.531,0.817,4.167,buckwheat
48,11.658,4.347,3.415,0.855,4.561,buckwheat
49,10.991,4.14,3.38,0.812,4.558,buckwheat
50,10.897,4.113,3.374,0.773,4.707,buckwheat
51,12.289,4.188,3.736,0.812,4.698,buckwheat
52,11.981,4.072,3.746,0.837,4.49,buckwheat
53,11.148,4.093,3.468,0.806,4.342,buckwheat
54,9.706,3.562,3.469,0.714,4.205,buckwheat
55,11.457,4.103,3.555,0.859,4.294,buckwheat
56,10.639,3.879,3.492,0.863,4.137,buckwheat
57,11.593,4.086,3.612,0.85,4.294,buckwheat
58,11.399,3.936,3.687,0.79,4.483,buckwheat
59,10.704,3.857,3.533,0.787,4.199,buckwheat
60,10.051,3.741,3.421,0.836,4.122,buckwheat
61,13.48,4.225,4.062,0.854,4.524,buckwheat
62,10.438,3.768,3.527,0.818,4.171,buckwheat
63,12.124,4.054,3.807,0.804,4.561,buckwheat
64,8.142,3.336,3.108,0.733,3.807,buckwheat
65,12.461,4.26,3.725,0.834,4.696,buckwheat
66,11.486,4.167,3.509,0.852,4.624,buckwheat
67,10.876,3.987,3.473,0.815,4.473,buckwheat
68,12.476,4.006,3.966,0.791,4.545,buckwheat
69,11.837,4.123,3.656,0.785,4.581,buckwheat
70,12.612,4.19,3.833,0.845,4.593,buckwheat
71,11.464,4.15,3.517,0.782,4.603,buckwheat
72,10.596,3.985,3.386,0.762,4.549,buckwheat
73,10.783,4.023,3.413,0.822,4.36,buckwheat
74,13.093,4.322,3.857,0.85,4.696,buckwheat
75,14.205,4.588,3.942,0.802,5.1,buckwheat
76,12.095,4.209,3.659,0.828,4.553,buckwheat
77,9.721,3.615,3.424,0.843,3.966,buckwheat
78,12.655,4.147,3.885,0.844,4.54,buckwheat
79,12.72,4.164,3.889,0.822,4.627,buckwheat
80,11.026,3.822,3.673,0.796,4.382,buckwheat
81,12.583,4.25,3.77,0.842,4.585,buckwheat
82,11.084,4.137,3.411,0.804,4.528,buckwheat
83,11.478,3.924,3.725,0.809,4.256,buckwheat
84,12.626,4.366,3.682,0.761,4.896,buckwheat
85,14.161,4.883,3.692,0.815,5.277,buckwheat
86,11.679,4.02,3.699,0.811,4.447,buckwheat
87,10.596,3.838,3.515,0.818,4.316,buckwheat
88,11.019,4.213,3.33,0.756,4.678,buckwheat
89,12.928,4.496,3.661,0.793,5.037,buckwheat
90,10.876,3.905,3.546,0.786,4.339,buckwheat
91,6.894,3.065,2.864,0.625,3.87,buckwheat
92,14.556,4.476,4.14,0.866,4.561,buckwheat
93,11.5,4.151,3.528,0.808,4.612,buckwheat
94,11.773,4.169,3.595,0.742,4.755,buckwheat
95,11.73,4.087,3.654,0.797,4.585,buckwheat
96,13.609,4.282,4.047,0.86,4.585,buckwheat
97,13.745,4.43,3.95,0.837,4.769,buckwheat
98,12.547,4.166,3.835,0.815,4.622,buckwheat
99,12.798,4.139,3.937,0.806,4.511,buckwheat
100,12.476,4.168,3.811,0.611,5.349,buckwheat
101,6.184,14.79,0.532,0.07,15.257,buckwheat
1,2.26,2.202,1.307,0.814,2.301,clover
2,2.289,2.067,1.41,0.88,2.156,clover
3,1.967,2.046,1.224,0.809,2.114,clover
4,2.225,2,1.417,0.826,2.156,clover
5,2.461,2.051,1.527,0.857,2.194,clover
6,2.496,2.156,1.474,0.844,2.322,clover
7,1.652,1.938,1.086,0.801,1.98,clover
8,2.146,1.971,1.386,0.876,2.08,clover
9,2.182,2.033,1.366,0.839,2.166,clover
10,1.631,1.597,1.3,0.897,1.713,clover
11,2.289,1.851,1.574,0.902,1.996,clover
12,2.217,1.961,1.44,0.832,2.06,clover
13,2.475,2.129,1.48,0.848,2.196,clover
14,2.782,2.232,1.587,0.85,2.37,clover
15,1.81,1.928,1.195,0.813,2.01,clover
16,2.84,2.302,1.571,0.86,2.419,clover
